data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:1.218786
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.927467
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.836674
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.580903
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.507729
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.255667
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.244486
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.129599
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.184989
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.253279
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.244721
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.202187
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.147682
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.048368
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.048785
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.026841
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.072944
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.055345
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.084003
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.017458
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.033494
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.019387
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.022040
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.044705
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.027104
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.029178
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.021301
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.013605
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.022474
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.009243
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.016013
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:016, data loss:0.013551
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.012421
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:017, data loss:0.014744
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.010314
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:018, data loss:0.008307
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.008925
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:019, data loss:0.004101
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.008684
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:020, data loss:0.002510
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.006774
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:021, data loss:0.003877
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.004040
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:022, data loss:0.006823
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.003295
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:023, data loss:0.006596
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.003316
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:024, data loss:0.004619
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.004026
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:025, data loss:0.004498
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.004376
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:026, data loss:0.006961
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.003932
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:027, data loss:0.008435
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.003156
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:028, data loss:0.005785
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.003071
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:029, data loss:0.002872
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.002838
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:030, data loss:0.002246
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.002947
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:031, data loss:0.003853
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.002362
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:032, data loss:0.005133
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.002240
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:033, data loss:0.004455
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.002236
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:034, data loss:0.003262
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.001980
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:035, data loss:0.003052
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.001639
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:036, data loss:0.003782
