data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.549687
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.133609
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.083895
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.064524
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.071497
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.013571
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.034323
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.021082
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.025664
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.003121
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.014544
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.007514
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.012734
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.001183
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.006450
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.002052
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005003
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.001916
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003742
