data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.721085
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.210602
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.133700
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.094437
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.111828
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.029276
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.049834
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.020957
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.040540
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.009455
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.024244
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.005726
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.016130
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.002793
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.011160
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.003277
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.008010
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.001809
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.006886
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.005311
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004914
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.001587
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003968
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.005173
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003787
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.002764
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003194
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.001827
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.003132
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.002934
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002904
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.005007
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002685
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.001810
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002367
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.002631
