data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.340812
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.038441
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.072432
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.079668
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.043617
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.007679
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.028696
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.015002
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.018469
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.004435
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.015470
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.002656
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.010264
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.002831
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.008759
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.000816
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005263
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.001961
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.005215
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.001391
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003288
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.000473
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002782
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.002139
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002219
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.000472
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001697
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.001079
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001570
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.001527
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001466
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.001371
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001244
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.001246
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001269
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.001088
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001219
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.001320
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001159
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.001066
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001287
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.001140
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001120
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.001301
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001136
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:023, data loss:0.001246
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001006
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:024, data loss:0.001109
