data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.526359
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.150203
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.085056
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.038237
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.065389
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.022733
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.025739
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.013190
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.025041
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.006378
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.015042
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.005078
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.011380
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.001165
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.008380
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.001914
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.006098
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.000632
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004275
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.001393
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003467
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.000552
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002746
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.001387
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002240
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.000680
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002029
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.000798
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001640
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.001109
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001601
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.001279
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001246
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.000644
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001146
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.000362
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001278
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.001290
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001095
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.001326
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000878
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.001346
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000936
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.001680
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000883
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:023, data loss:0.001363
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000843
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:024, data loss:0.001178
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000770
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:025, data loss:0.001179
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000676
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:026, data loss:0.000986
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000604
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:027, data loss:0.001134
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000668
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:028, data loss:0.001090
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000602
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:029, data loss:0.000593
