data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.266136
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.064468
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.072742
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.032864
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.050092
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.010276
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.030279
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.015463
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.024148
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.002959
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.013730
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.002290
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.012367
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.001757
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.008536
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.000606
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.006173
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.000943
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003813
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.000778
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002775
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.000790
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002218
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.001415
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001816
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.001453
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001557
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.000949
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001451
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.001071
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001313
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.001231
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001217
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.001115
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001192
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.001220
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001084
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.000977
