data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.867910
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.286304
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.157561
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.058167
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.104428
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.060062
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.037872
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.011798
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.031637
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.017225
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.017563
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.003762
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.010599
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.006805
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007721
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.002377
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004563
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.002730
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004404
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.002340
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003073
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.002355
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002406
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.002749
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002030
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.002165
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001953
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.002447
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001908
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.002641
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001710
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.001829
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001741
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.002431
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001515
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.002982
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001506
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.001897
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001421
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.001688
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001109
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.002192
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001305
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.001880
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001083
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:023, data loss:0.001655
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001082
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:024, data loss:0.001230
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001137
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:025, data loss:0.002485
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001272
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:026, data loss:0.003013
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001004
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:027, data loss:0.002310
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000913
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:028, data loss:0.001992
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000855
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:029, data loss:0.001911
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000867
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:030, data loss:0.001393
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000828
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:031, data loss:0.001413
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000768
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:032, data loss:0.001751
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000706
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:033, data loss:0.001758
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000730
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:034, data loss:0.001575
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000744
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:035, data loss:0.000921
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000720
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:036, data loss:0.001230
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000676
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:037, data loss:0.001013
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000857
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:038, data loss:0.001973
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000816
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:039, data loss:0.001979
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000798
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:040, data loss:0.001135
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000679
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:041, data loss:0.000980
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000579
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:042, data loss:0.000836
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000641
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:043, data loss:0.001171
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.000732
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:044, data loss:0.001215
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.000608
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:045, data loss:0.001678
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:046, data loss:0.000670
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:046, data loss:0.002142
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:047, data loss:0.000648
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:047, data loss:0.001260
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:048, data loss:0.000563
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:048, data loss:0.001112
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:049, data loss:0.000534
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:049, data loss:0.000539
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:050, data loss:0.000553
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:050, data loss:0.000592
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:051, data loss:0.000547
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:051, data loss:0.001172
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:052, data loss:0.000563
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:052, data loss:0.001268
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:053, data loss:0.000488
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:053, data loss:0.001322
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:054, data loss:0.000551
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:054, data loss:0.000680
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:055, data loss:0.000563
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:055, data loss:0.000452
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:056, data loss:0.000534
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:056, data loss:0.000465
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:057, data loss:0.000506
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:057, data loss:0.000911
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:058, data loss:0.000488
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:058, data loss:0.001306
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:059, data loss:0.000576
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:059, data loss:0.000761
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:060, data loss:0.000519
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:060, data loss:0.000298
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:061, data loss:0.000536
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:061, data loss:0.000388
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:062, data loss:0.000546
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:062, data loss:0.001151
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:063, data loss:0.000525
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:063, data loss:0.001674
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:064, data loss:0.000493
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:064, data loss:0.001193
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:065, data loss:0.000462
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:065, data loss:0.000725
