data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.540751
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.188906
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.155197
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.084326
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.078700
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.044825
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.077979
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.029797
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.037884
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.008040
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.029826
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.015607
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.028949
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.007658
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.018545
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.004209
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.016253
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.002737
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.012689
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.000891
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.008899
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.003095
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.007713
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.001593
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.005431
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.001847
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.004624
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.001427
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.003622
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.001603
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.003253
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.000912
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002682
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.002140
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002244
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.000736
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.002114
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.002310
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001723
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.000733
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001624
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.001544
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001527
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.001386
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001405
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:023, data loss:0.000998
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001421
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:024, data loss:0.001188
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001158
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:025, data loss:0.001704
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001039
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:026, data loss:0.001150
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001206
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:027, data loss:0.001150
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001138
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:028, data loss:0.001521
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001033
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:029, data loss:0.001385
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000979
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:030, data loss:0.000778
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001044
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:031, data loss:0.001298
