data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.328351
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.034669
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.048104
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.062080
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.049873
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.004681
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.025947
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.017895
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.020933
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.004257
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.013857
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.002680
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.010173
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.002523
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007707
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.001094
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005385
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.001587
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003994
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.000991
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002843
