data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:1.359564
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.912705
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.815571
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.453376
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.406018
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.152130
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.188663
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.149516
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.195047
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.225692
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.191830
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.123928
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.076353
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.012028
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.046621
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.046349
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.098849
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.035862
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.066048
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.018005
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.025416
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.053124
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.034576
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.049862
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.030126
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.014340
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.026708
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.005053
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.025258
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.007526
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.018395
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:016, data loss:0.012614
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.013238
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:017, data loss:0.009098
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.011069
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:018, data loss:0.004271
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.010579
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:019, data loss:0.002417
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.011468
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:020, data loss:0.002174
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.008412
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:021, data loss:0.003336
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.007634
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:022, data loss:0.006033
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.006137
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:023, data loss:0.007456
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.006485
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:024, data loss:0.006114
