data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.454054
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.084334
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.069999
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.079025
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.063684
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.006124
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.034597
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.025457
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.028459
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.006405
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.019063
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.005987
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.011462
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.002490
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.008715
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.003813
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004916
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.000707
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003463
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.002241
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002943
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.000632
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002894
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.001544
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001816
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.000790
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001613
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.001453
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001572
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.001215
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001368
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.000951
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001198
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.001313
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001256
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.000989
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001134
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.001712
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001006
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.001083
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001025
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.001212
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000962
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.000712
