data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.480227
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.049160
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.088236
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.067422
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.057522
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.026526
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.038523
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.013999
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.028244
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.013047
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.017791
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.002494
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.012147
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.002901
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.010034
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.002465
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.006358
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.000982
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004925
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.002687
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003670
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.000961
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002765
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.002351
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002140
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.001299
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001698
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.001856
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001546
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.001581
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001261
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:016, data loss:0.001555
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001290
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:017, data loss:0.001763
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001297
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:018, data loss:0.002091
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001218
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:019, data loss:0.001435
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001071
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:020, data loss:0.001749
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001021
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:021, data loss:0.002274
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001214
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:022, data loss:0.001416
