data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.346788
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.110703
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.083934
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.029062
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.061832
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.024889
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.036922
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.013606
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.031566
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.016322
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.022614
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.002152
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.013330
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.003937
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.013875
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.003383
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.010750
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.002717
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.008433
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.001067
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004730
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.000730
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004279
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.000853
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003123
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.001331
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002669
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.001180
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002370
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.000653
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001751
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.000949
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001392
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.000524
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001273
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.000914
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001147
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.000457
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001072
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.001089
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000976
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.001067
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000916
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.000483
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000809
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:023, data loss:0.000990
