data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.446315
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.087046
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.064597
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.049873
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.059397
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.012905
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.029452
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.014825
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.022170
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.004807
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.013809
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.003873
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.012112
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.000531
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007035
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.002645
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.007384
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.001059
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004023
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.001283
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003342
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.001582
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002736
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.000730
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001855
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.001284
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001875
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.000894
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001690
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.002224
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001579
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.000839
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001505
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.000563
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001316
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.001252
