data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.254184
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.038357
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.078535
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.034061
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.044662
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.016737
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.036802
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.016109
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.023620
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.002704
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.018989
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.004044
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.012349
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.002477
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.011114
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.001725
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.008091
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.000983
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.005850
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.000706
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004166
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.001592
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002989
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.000445
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002398
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.000391
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001748
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.001512
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001471
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.000845
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001143
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:016, data loss:0.000614
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001058
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:017, data loss:0.000668
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000953
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:018, data loss:0.000669
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000898
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:019, data loss:0.000733
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000923
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:020, data loss:0.000838
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000825
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:021, data loss:0.001265
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000768
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:022, data loss:0.001184
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000733
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:023, data loss:0.000876
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000724
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:024, data loss:0.000670
