data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.833973
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.253125
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.115659
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.078688
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.088927
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.050851
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.032424
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.017513
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.024940
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.005249
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.012492
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.022842
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.008885
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.001669
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.006256
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.001449
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004863
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.005101
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003725
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.003121
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003295
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.001964
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003005
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.003247
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002820
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.002236
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002599
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.002272
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002445
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.003051
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002490
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.001888
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002297
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.002934
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002452
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.002043
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.002032
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.002492
