data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.299709
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.030686
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.073789
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.052983
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.041667
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.012771
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.033047
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.014858
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.020759
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.009036
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.012607
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.001758
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.010529
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.001761
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.005289
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.003019
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003285
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.001215
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002929
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.002806
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002334
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.000903
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001868
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.001975
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001520
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.001491
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001306
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.001095
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001247
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.001740
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001292
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.001291
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001054
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.001393
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001026
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.001171
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000935
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.001147
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000888
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.001377
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001022
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.001551
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000927
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.001179
