data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.474927
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.057431
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.084712
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.064652
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.071682
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.022754
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.041163
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.020133
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.035610
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.005556
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.016826
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.004242
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.014881
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.004655
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.009089
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.000753
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005379
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.003537
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004777
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.001176
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003492
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.003010
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002813
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.001036
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002037
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.001519
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001794
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.002172
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001724
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.001708
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002069
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.000951
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001601
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.002481
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001477
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.002110
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001767
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.001389
