data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.470028
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.188677
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.164818
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.061262
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.055731
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.035288
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.056862
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.024299
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.032722
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.006654
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.023922
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.010689
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.023320
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.004832
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.016066
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.004721
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.011535
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.001876
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.008233
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.001725
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005675
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.001747
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004985
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.001373
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.004075
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.002826
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003120
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.000707
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002253
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.001515
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002088
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.000586
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002063
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.001209
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001775
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.000589
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001616
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.001915
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001529
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.000562
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001482
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.002106
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001421
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.000819
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001180
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:023, data loss:0.000862
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001143
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:024, data loss:0.001452
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001213
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:025, data loss:0.000617
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001044
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:026, data loss:0.000889
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001039
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:027, data loss:0.001805
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001048
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:028, data loss:0.000801
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001068
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:029, data loss:0.000990
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000850
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:030, data loss:0.001280
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000844
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:031, data loss:0.000810
