data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.627799
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.207584
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.100180
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.055452
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.074459
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.035817
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.035740
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.013327
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.025340
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.011449
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.012915
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.007540
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.007473
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.001728
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.004968
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.005366
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003517
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.001764
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003113
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.002619
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002476
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.002389
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002210
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.002086
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001950
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.002216
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001598
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.001291
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001459
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.002098
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001499
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.001991
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001348
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.001506
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001338
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.001998
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001527
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.001787
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001265
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.001513
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001221
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.001849
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001198
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.001869
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001042
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:023, data loss:0.001210
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001048
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:024, data loss:0.001858
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000993
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:025, data loss:0.001349
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000940
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:026, data loss:0.001496
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000950
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:027, data loss:0.001780
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001098
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:028, data loss:0.001707
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001009
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:029, data loss:0.001545
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000898
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:030, data loss:0.001036
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000895
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:031, data loss:0.001236
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000840
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:032, data loss:0.001551
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000876
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:033, data loss:0.001544
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000804
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:034, data loss:0.001055
