data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.903038
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.563920
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.496503
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.265482
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.260691
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.173844
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.220521
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.185654
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.186526
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.093592
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.087638
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.019719
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.052809
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.041471
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.070881
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.030224
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.050804
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.024127
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.045294
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.048846
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.044099
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.018500
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.018344
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.003978
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.020878
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.009302
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.023603
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.002210
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.009709
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.016166
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.013505
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:016, data loss:0.023761
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.013022
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:017, data loss:0.007515
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.006387
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:018, data loss:0.000848
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.010140
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:019, data loss:0.001119
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.007507
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:020, data loss:0.003199
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.005406
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:021, data loss:0.012948
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.006863
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:022, data loss:0.009485
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.004346
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:023, data loss:0.001563
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.004209
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:024, data loss:0.000534
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.003875
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:025, data loss:0.002715
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.002941
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:026, data loss:0.007135
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.003579
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:027, data loss:0.005232
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.002785
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:028, data loss:0.001387
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.002733
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:029, data loss:0.000686
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.002475
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:030, data loss:0.002176
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001824
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:031, data loss:0.004124
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.002187
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:032, data loss:0.003213
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.001615
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:033, data loss:0.001441
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.001744
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:034, data loss:0.001439
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.002000
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:035, data loss:0.002894
