data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.334033
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.113044
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.102839
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.044218
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.053616
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.036867
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.040018
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.004272
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.025887
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.018278
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.028434
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.007115
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.017508
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.001093
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.012048
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.004257
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.010198
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.001452
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.006550
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.003173
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004699
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.002495
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004046
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.003307
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003371
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.002364
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002406
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.001625
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002182
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.001697
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001894
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.001207
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001631
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.001830
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001553
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.001829
