data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.613554
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.221183
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.183730
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.095419
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.145931
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.172793
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.179267
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.115989
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.103696
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.026915
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.042473
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.032979
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.055593
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.053890
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.063525
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.023592
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.030706
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.007528
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.023539
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.035384
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.040453
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.024808
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.020453
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.003216
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.012042
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.008147
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.020961
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.009607
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.016816
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.000922
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.006275
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:016, data loss:0.007463
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.008954
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:017, data loss:0.014871
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.009831
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:018, data loss:0.005209
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.004978
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:019, data loss:0.000885
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.006832
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:020, data loss:0.001348
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.006254
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:021, data loss:0.001057
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.002897
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:022, data loss:0.006482
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.004546
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:023, data loss:0.004980
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.003129
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:024, data loss:0.000584
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.002899
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:025, data loss:0.000268
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.003256
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:026, data loss:0.000227
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.002030
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:027, data loss:0.002517
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.002339
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:028, data loss:0.004037
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.002189
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:029, data loss:0.001310
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001878
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:030, data loss:0.000287
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001974
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:031, data loss:0.000761
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.001639
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:032, data loss:0.002788
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.001698
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:033, data loss:0.002655
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.001490
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:034, data loss:0.000876
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.001338
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:035, data loss:0.000405
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.001284
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:036, data loss:0.001002
