data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.578041
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.227671
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.169721
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.042803
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.093035
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.070138
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.075372
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.010396
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.036798
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.021625
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.041745
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.015596
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.021042
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.008041
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.013889
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.004870
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.011794
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.004236
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.006518
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.004309
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004798
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.002783
