data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.423793
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.159486
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.116900
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.027305
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.059906
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.048260
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.046320
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.006647
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.020193
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.010327
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.024995
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.010058
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.013473
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.002120
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007450
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.004425
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.006465
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.002765
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003404
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.000970
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003551
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.002480
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002411
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.001284
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002099
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.002511
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001618
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.000971
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001318
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.001715
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001252
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.000630
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.000941
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.001240
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000881
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.001078
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000848
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.000992
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000802
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.001332
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000814
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.000811
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000643
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.000849
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000612
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:023, data loss:0.001154
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000600
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:024, data loss:0.001036
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000520
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:025, data loss:0.000476
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000527
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:026, data loss:0.000420
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000617
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:027, data loss:0.000928
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000597
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:028, data loss:0.000931
