data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.479974
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.039877
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.084568
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.072853
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.053736
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.025936
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.039215
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.008963
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.024236
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.017473
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.014352
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.000944
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.011259
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.001326
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007817
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.003772
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005718
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.000388
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004480
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.005156
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003552
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.000817
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002928
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.003280
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002653
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.000920
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002152
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.003387
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001975
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.001128
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001694
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.002514
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001808
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.001855
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001452
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.001589
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001354
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.001517
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001450
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.002483
