data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.603013
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.202165
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.231052
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.136404
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.197920
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.164579
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.157861
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.058984
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.063377
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.020022
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.067800
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.052840
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.085219
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.020646
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.045267
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.022866
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.038344
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.035422
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.031253
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.010312
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.014535
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.001905
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.022149
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.006281
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.021503
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.000867
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.010028
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.015363
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.014544
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.023195
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.013422
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:016, data loss:0.007386
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.006208
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:017, data loss:0.000478
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.009192
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:018, data loss:0.000587
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.007349
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:019, data loss:0.002152
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.004314
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:020, data loss:0.009483
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.005678
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:021, data loss:0.007974
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.004310
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:022, data loss:0.001425
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.004193
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:023, data loss:0.000233
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.003808
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:024, data loss:0.001327
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.003103
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:025, data loss:0.006056
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.003656
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:026, data loss:0.006444
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.002919
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:027, data loss:0.002004
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.002544
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:028, data loss:0.001040
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.002501
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:029, data loss:0.003287
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.002349
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:030, data loss:0.005031
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.002393
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:031, data loss:0.002698
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.001969
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:032, data loss:0.000896
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.002163
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:033, data loss:0.001776
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.002015
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:034, data loss:0.003898
