data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:1.196652
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.713184
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.610160
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.277360
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.268612
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.156750
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.214507
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.255886
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.251898
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.197879
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.165936
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.053950
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.054576
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.022827
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.057786
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.057854
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.080894
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.029413
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.040846
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.016618
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.021773
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.046427
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.030457
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.039657
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.020849
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.008358
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.020095
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.003577
2025-11-11 17:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.020194
2025-11-11 17:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.002307
