data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.557177
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.239772
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.194397
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.044918
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.051976
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.067363
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.078874
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.026009
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.027973
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.008750
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.031875
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.017518
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.025452
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.015291
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.014783
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.001267
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.010455
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.003281
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.009955
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.006885
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.006964
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.001130
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004834
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.002543
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003811
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.002581
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002954
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.001009
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002290
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.002788
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002211
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.001152
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002410
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.002519
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001720
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.000992
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001826
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.001897
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001761
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.001378
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001504
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.001664
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001375
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.001230
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001441
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:023, data loss:0.001397
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001377
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:024, data loss:0.001755
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001468
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:025, data loss:0.001099
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001197
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:026, data loss:0.001552
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001178
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:027, data loss:0.001269
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001092
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:028, data loss:0.000871
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001197
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:029, data loss:0.001229
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001053
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:030, data loss:0.001511
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001031
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:031, data loss:0.001011
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.001038
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:032, data loss:0.001097
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000832
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:033, data loss:0.000927
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000978
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:034, data loss:0.001203
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000925
