data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.398291
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.117033
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.101745
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.033013
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.040720
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.037143
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.052334
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.011637
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.017693
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.003752
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.016074
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.009446
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.015813
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.004185
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007972
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.001991
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.006642
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.001667
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.005380
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.002151
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003308
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.000386
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002868
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.001219
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002556
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.000725
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002110
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.000857
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001696
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.000707
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001527
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.000963
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001434
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.000918
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001274
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.000862
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001266
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.000384
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001166
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.001053
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001132
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.000565
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001133
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.000936
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000884
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:023, data loss:0.000932
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000914
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:024, data loss:0.000688
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000941
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:025, data loss:0.000828
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000772
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:026, data loss:0.000719
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000815
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:027, data loss:0.000853
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000778
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:028, data loss:0.000735
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000782
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:029, data loss:0.000654
2025-11-11 17:01 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000685
2025-11-11 17:01 - function:valid - INFO - [Valid] epoch:030, data loss:0.000842
